fomula,homo,lumo,band gap,cosmoname,cosmodata
LiLiLiNaGeFFFBrBrBr,-0.20921,-0.06171,0.1475,Acetonitrile,37.5000
LiLiLiNaGeFFFBrBrI,-0.21657,-0.07234,0.14423,Pyridine,12.3000
LiLiLiNaGeFFFFFCl,-0.23188,-0.04149,0.19039,Methanol,32.6300
LiLiLiNaGeFFFFFI,-0.20927,-0.0598,0.14947,Methanol,32.6300
LiLiLiNaGeFFIIII,-0.20306,-0.09114,0.11192,n-hexadecane,2.0600
LiLiLiNaGeFIIIII,-0.20148,-0.0748,0.12668,Ethanol,24.3000
LiLiLiNaGeIIIIII,-0.2118,-0.09946,0.11234,n-hexadecane,2.0600
LiLiLiNaPbBrBrBrIII,-0.22248,-0.08782,0.13466,Ethanol,24.3000
LiLiLiNaPbBrBrIIII,-0.22185,-0.1198,0.10205,Benzene,2.2840
LiLiLiNaPbClClBrIII,-0.22054,-0.09048,0.13006,Dimethyl sulfoxide,46.7000
LiLiLiNaPbClClClIII,-0.22412,-0.1227,0.10142,Benzene,2.2840
LiLiLiNaPbClClIIII,-0.21555,-0.09033,0.12522,Acetonitrile,37.5000
LiLiLiNaPbFBrBrBrBrI,-0.22571,-0.09991,0.1258,Methylene chloride,9.0800
LiLiLiNaPbFClBrBrBrI,-0.23271,-0.1132,0.11951,Carbon tetrachloride,2.2380
LiLiLiNaPbFClBrIII,-0.22042,-0.0987,0.12172,Dimethyl sulfoxide,46.7000
LiLiLiNaPbFClClBrBrBr,-0.23554,-0.11477,0.12077,n-hexadecane,2.0600
LiLiLiNaPbFClClBrII,-0.22053,-0.10382,0.11671,Chlorofom,4.8060
LiLiLiNaPbFClClClBrBr,-0.2372,-0.11141,0.12579,Carbon tetrachloride,2.2380
LiLiLiNaPbFClClClClCl,-0.24021,-0.07714,0.16307,Water,78.5400
LiLiLiNaPbFClClClII,-0.22537,-0.0961,0.12927,Water,78.5400
LiLiLiNaPbFFFBrBrI,-0.21695,-0.09421,0.12274,Benzene,2.2840
LiLiLiNaPbFFFClBrI,-0.20856,-0.08192,0.12664,n-hexadecane,2.0600
